xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.0222656;0.000989784;0.000989784;0.0889162;0.0889162;8.67362e-19;-1.249e-16;0.000390625;1.3323e-16;9.25186e-19;1.33227e-16;8;0;0.0222949
0.0226562;0.00102482;0.00102482;0.0904798;0.0904798;4.33681e-19;-1.249e-16;0.000390625;1.33228e-16;4.62593e-19;1.33227e-16;8;0;0.0226871
0.0230469;0.00106047;0.00106047;0.0920438;0.0920438;4.33681e-19;-1.249e-16;0.000390625;1.33228e-16;4.62593e-19;1.33227e-16;8;0;0.0230794
0.0234375;0.00109673;0.00109673;0.0936081;0.0936081;4.33681e-19;-1.11022e-16;0.000390625;1.18425e-16;4.62593e-19;1.18424e-16;8;0;0.0234717
0.0238281;0.0011336;0.0011336;0.0951728;0.0951728;4.33681e-19;-1.249e-16;0.000390625;1.33228e-16;4.62593e-19;1.33227e-16;8;0;0.023864
0.0242187;0.00117109;0.00117109;0.0967379;0.0967379;2.1684e-19;-1.249e-16;0.000390625;1.33227e-16;2.31296e-19;1.33227e-16;8;0;0.0242564
0.0246094;0.00120918;0.00120918;0.0983034;0.0983034;0;-1.11022e-16;0.000390625;1.18424e-16;0;1.18424e-16;8;0;0.0246489
0.025;0.00124789;0.00124789;0.0998693;0.0998693;2.1684e-19;-1.11022e-16;0.000390625;1.18424e-16;2.31296e-19;1.18424e-16;8;0;0.0250415
0.0253906;0.0012872;0.0012872;0.101436;0.101436;-2.1684e-19;-1.249e-16;0.000390625;1.33227e-16;2.31296e-19;1.33227e-16;8;0;0.0254341
0.0257812;0.00132713;0.00132713;0.103002;0.103002;-4.33681e-19;-1.249e-16;0.000390625;1.33228e-16;4.62593e-19;1.33227e-16;8;0;0.0258267
0.0261719;0.00136767;0.00136767;0.10457;0.10457;-2.1684e-19;-1.11022e-16;0.000390625;1.18424e-16;2.31296e-19;1.18424e-16;8;0;0.0262194
0.0265625;0.00140883;0.00140883;0.106137;0.106137;-4.33681e-19;-1.11022e-16;0.000390625;1.18425e-16;4.62593e-19;1.18424e-16;8;0;0.0266122
0.0269531;0.00145059;0.00145059;0.107705;0.107705;-6.50521e-19;-1.11022e-16;0.000390625;1.18426e-16;6.93889e-19;1.18424e-16;8;0;0.0270051
0.0273437;0.00149297;0.00149297;0.109274;0.109274;-6.50521e-19;-1.249e-16;0.000390625;1.33229e-16;6.93889e-19;1.33227e-16;8;0;0.027398
0.0277344;0.00153596;0.00153596;0.110843;0.110843;-8.67362e-19;-1.11022e-16;0.000390625;1.18427e-16;9.25186e-19;1.18424e-16;8;0;0.027791
0.028125;0.00157957;0.00157957;0.112413;0.112413;-8.67362e-19;-1.11022e-16;0.000390625;1.18427e-16;9.25186e-19;1.18424e-16;8;0;0.028184
0.0285156;0.00162379;0.00162379;0.113983;0.113983;-1.0842e-18;-1.11022e-16;0.000390625;1.18429e-16;1.15648e-18;1.18424e-16;8;0;0.0285772
0.0289062;0.00166862;0.00166862;0.115553;0.115553;-1.0842e-18;-1.11022e-16;0.000390625;1.18429e-16;1.15648e-18;1.18424e-16;8;0;0.0289703
0.0292969;0.00171406;0.00171406;0.117124;0.117124;-1.30104e-18;-1.11022e-16;0.000390625;1.18432e-16;1.38778e-18;1.18424e-16;8;0;0.0293636
0.0296875;0.00176012;0.00176012;0.118696;0.118696;-1.51788e-18;-1.11022e-16;0.000390625;1.18435e-16;1.61908e-18;1.18424e-16;8;0;0.0297569
0.0300781;0.00180679;0.00180679;0.120268;0.120268;-1.51788e-18;-1.11022e-16;0.000390625;1.18435e-16;1.61908e-18;1.18424e-16;8;0;0.0301503
0.0304687;0.00185408;0.00185408;0.121841;0.121841;-1.73472e-18;-1.11022e-16;0.000390625;1.18438e-16;1.85037e-18;1.18424e-16;8;0;0.0305438
0.0308594;0.00190198;0.00190198;0.123414;0.123414;-1.73472e-18;-1.11022e-16;0.000390625;1.18438e-16;1.85037e-18;1.18424e-16;8;0;0.0309374
0.03125;0.0019505;0.0019505;0.124988;0.124988;-2.1684e-18;-1.11022e-16;0.000390625;1.18446e-16;2.31296e-18;1.18424e-16;8;0;0.031331
0.0316406;0.00199963;0.00199963;0.126563;0.126563;-2.60209e-18;-1.11022e-16;0.000390625;1.18456e-16;2.77556e-18;1.18424e-16;8;0;0.0317247
0.0320312;0.00204938;0.00204938;0.128138;0.128138;-2.60209e-18;-1.11022e-16;0.000390625;1.18456e-16;2.77556e-18;1.18424e-16;8;0;0.0321185
0.0324219;0.00209974;0.00209974;0.129714;0.129714;-2.60209e-18;-1.11022e-16;0.000390625;1.18456e-16;2.77556e-18;1.18424e-16;8;0;0.0325123
0.0328125;0.00215071;0.00215071;0.13129;0.13129;-2.60209e-18;-8.32667e-17;0.000390625;8.88612e-17;2.77556e-18;8.88178e-17;8;0;0.0329063
0.0332031;0.00220231;0.00220231;0.132868;0.132868;-2.60209e-18;-1.11022e-16;0.000390625;1.18456e-16;2.77556e-18;1.18424e-16;8;0;0.0333003
0.0335937;0.00225452;0.00225452;0.134445;0.134445;-2.60209e-18;-8.32667e-17;0.000390625;8.88612e-17;2.77556e-18;8.88178e-17;8;0;0.0336944
0.0339844;0.00230734;0.00230734;0.136024;0.136024;-3.46945e-18;-1.11022e-16;0.000390625;1.18482e-16;3.70074e-18;1.18424e-16;8;0;0.0340886
