xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.0375;0.00139057;0.00139057;0.0737939;0.0737939;4.25007e-17;-8.32667e-17;0.00078125;9.97186e-17;4.53341e-17;8.88178e-17;7;0;0.0375343
0.0382812;0.00144881;0.00144881;0.0753097;0.0753097;4.25007e-17;-8.32667e-17;0.00078125;9.97186e-17;4.53341e-17;8.88178e-17;7;0;0.0383177
0.0390625;0.00150824;0.00150824;0.0768248;0.0768248;4.2067e-17;-6.93889e-17;0.00078125;8.65543e-17;4.48715e-17;7.40149e-17;7;0;0.0391012
0.0398437;0.00156885;0.00156885;0.0783393;0.0783393;4.2067e-17;-8.32667e-17;0.00078125;9.95091e-17;4.48715e-17;8.88178e-17;7;0;0.0398848
0.040625;0.00163064;0.00163064;0.079853;0.079853;4.18502e-17;-6.93889e-17;0.00078125;8.64347e-17;4.46402e-17;7.40149e-17;7;0;0.0406685
0.0414062;0.00169362;0.00169362;0.081366;0.081366;4.16334e-17;-6.93889e-17;0.00078125;8.63154e-17;4.44089e-17;7.40149e-17;7;0;0.0414523
0.0421875;0.00175778;0.00175778;0.0828784;0.0828784;4.14165e-17;-6.93889e-17;0.00078125;8.61967e-17;4.41776e-17;7.40149e-17;7;0;0.0422361
0.0429687;0.00182312;0.00182312;0.0843901;0.0843901;4.11997e-17;-6.93889e-17;0.00078125;8.60783e-17;4.39463e-17;7.40149e-17;7;0;0.0430201
0.04375;0.00188964;0.00188964;0.0859011;0.0859011;4.09828e-17;-8.32667e-17;0.00078125;9.8993e-17;4.3715e-17;8.88178e-17;7;0;0.0438042
0.0445312;0.00195734;0.00195734;0.0874115;0.0874115;4.0766e-17;-6.93889e-17;0.00078125;8.58431e-17;4.34837e-17;7.40149e-17;7;0;0.0445884
0.0453125;0.00202622;0.00202622;0.0889213;0.0889213;4.0766e-17;-6.93889e-17;0.00078125;8.58431e-17;4.34837e-17;7.40149e-17;7;0;0.0453726
0.0460937;0.00209628;0.00209628;0.0904304;0.0904304;4.03323e-17;-6.93889e-17;0.00078125;8.56097e-17;4.30211e-17;7.40149e-17;7;0;0.046157
0.046875;0.00216751;0.00216751;0.0919389;0.0919389;4.03323e-17;-6.93889e-17;0.00078125;8.56097e-17;4.30211e-17;7.40149e-17;7;0;0.0469415
0.0476562;0.00223993;0.00223993;0.0934467;0.0934467;4.03323e-17;-8.32667e-17;0.00078125;9.86885e-17;4.30211e-17;8.88178e-17;7;0;0.0477261
0.0484375;0.00231352;0.00231352;0.094954;0.094954;3.98986e-17;-8.32667e-17;0.00078125;9.84878e-17;4.25585e-17;8.88178e-17;7;0;0.0485108
0.0492187;0.0023883;0.0023883;0.0964607;0.0964607;3.98986e-17;-6.93889e-17;0.00078125;8.53782e-17;4.25585e-17;7.40149e-17;7;0;0.0492956
0.05;0.00246424;0.00246424;0.0979668;0.0979668;3.9465e-17;-6.93889e-17;0.00078125;8.51485e-17;4.2096e-17;7.40149e-17;7;0;0.0500806
0.0507812;0.00254137;0.00254137;0.0994723;0.0994723;3.90313e-17;-6.93889e-17;0.00078125;8.49208e-17;4.16334e-17;7.40149e-17;7;0;0.0508656
0.0515625;0.00261967;0.00261967;0.100977;0.100977;3.90313e-17;-6.93889e-17;0.00078125;8.49208e-17;4.16334e-17;7.40149e-17;7;0;0.0516508
0.0523437;0.00269915;0.00269915;0.102482;0.102482;3.90313e-17;-6.93889e-17;0.00078125;8.49208e-17;4.16334e-17;7.40149e-17;7;0;0.0524361
0.053125;0.0027798;0.0027798;0.103985;0.103985;3.85976e-17;-6.93889e-17;0.00078125;8.46949e-17;4.11708e-17;7.40149e-17;7;0;0.0532215
0.0539062;0.00286162;0.00286162;0.105489;0.105489;3.85976e-17;-6.93889e-17;0.00078125;8.46949e-17;4.11708e-17;7.40149e-17;7;0;0.054007
0.0546875;0.00294462;0.00294462;0.106991;0.106991;3.85976e-17;-6.93889e-17;0.00078125;8.46949e-17;4.11708e-17;7.40149e-17;7;0;0.0547926
0.0554687;0.0030288;0.0030288;0.108494;0.108494;3.81639e-17;-6.93889e-17;0.00078125;8.4471e-17;4.07082e-17;7.40149e-17;7;0;0.0555784
0.05625;0.00311414;0.00311414;0.109995;0.109995;3.81639e-17;-5.55112e-17;0.00078125;7.18554e-17;4.07082e-17;5.92119e-17;7;0;0.0563643
0.0570312;0.00320066;0.00320066;0.111497;0.111497;3.81639e-17;-6.93889e-17;0.00078125;8.4471e-17;4.07082e-17;7.40149e-17;7;0;0.0571503
0.0578125;0.00328836;0.00328836;0.112997;0.112997;3.77302e-17;-5.55112e-17;0.00078125;7.15944e-17;4.02456e-17;5.92119e-17;7;0;0.0579365
0.0585937;0.00337722;0.00337722;0.114497;0.114497;3.72966e-17;-6.93889e-17;0.00078125;8.40291e-17;3.9783e-17;7.40149e-17;7;0;0.0587228
0.059375;0.00346726;0.00346726;0.115997;0.115997;3.72966e-17;-5.55112e-17;0.00078125;7.13354e-17;3.9783e-17;5.92119e-17;7;0;0.0595092
0.0601562;0.00355847;0.00355847;0.117496;0.117496;3.68629e-17;-6.93889e-17;0.00078125;8.38111e-17;3.93204e-17;7.40149e-17;7;0;0.0602958
0.0609375;0.00365085;0.00365085;0.118995;0.118995;3.68629e-17;-6.93889e-17;0.00078125;8.38111e-17;3.93204e-17;7.40149e-17;7;0;0.0610825
0.0617187;0.0037444;0.0037444;0.120494;0.120494;3.68629e-17;-6.93889e-17;0.00078125;8.38111e-17;3.93204e-17;7.40149e-17;7;0;0.0618693
0.0625;0.00383912;0.00383912;0.121991;0.121991;3.64292e-17;-6.93889e-17;0.00078125;8.3595e-17;3.88578e-17;7.40149e-17;7;0;0.0626563
0.0632812;0.00393501;0.00393501;0.123489;0.123489;3.64292e-17;-6.93889e-17;0.00078125;8.3595e-17;3.88578e-17;7.40149e-17;7;0;0.0634434
0.0640625;0.00403207;0.00403207;0.124986;0.124986;3.64292e-17;-6.93889e-17;0.00078125;8.3595e-17;3.88578e-17;7.40149e-17;7;0;0.0642306
0.0648437;0.0041303;0.0041303;0.126483;0.126483;3.64292e-17;-5.55112e-17;0.00078125;7.08236e-17;3.88578e-17;5.92119e-17;7;0;0.065018
0.065625;0.0042297;0.0042297;0.127979;0.127979;3.64292e-17;-8.32667e-17;0.00078125;9.69461e-17;3.88578e-17;8.88178e-17;7;0;0.0658056
0.0664062;0.00433027;0.00433027;0.129474;0.129474;3.64292e-17;-8.32667e-17;0.00078125;9.69461e-17;3.88578e-17;8.88178e-17;7;0;0.0665933
0.0671875;0.004432;0.004432;0.13097;0.13097;3.55618e-17;-5.55112e-17;0.00078125;7.03202e-17;3.79326e-17;5.92119e-17;7;0;0.0673811
0.0679687;0.00453491;0.00453491;0.132465;0.132465;3.55618e-17;-5.55112e-17;0.00078125;7.03202e-17;3.79326e-17;5.92119e-17;7;0;0.0681691
0.06875;0.00463898;0.00463898;0.133959;0.133959;3.55618e-17;-5.55112e-17;0.00078125;7.03202e-17;3.79326e-17;5.92119e-17;7;0;0.0689573
0.0695312;0.00474422;0.00474422;0.135454;0.135454;3.46945e-17;-5.55112e-17;0.00078125;6.98255e-17;3.70074e-17;5.92119e-17;7;0;0.0697456
0.0703125;0.00485063;0.00485063;0.136948;0.136948;3.46945e-17;-5.55112e-17;0.00078125;6.98255e-17;3.70074e-17;5.92119e-17;7;0;0.070534
